time,msg,codes,model,count,num_rows,rows
time,msg,codes,model,count,num_rows,rows
2020-07-12 04:23:04,,{48}0e10fb8988d1;{0},BRAVO,1,2,;
2020-07-12 04:23:16,,{48}0e10fb8787d4;{0},BRAVO,1,2,;
2020-07-12 04:23:29,,{48}0e10fb8585d8;{0},BRAVO,1,2,;
2020-07-12 04:23:41,,{48}0e10fb8585d8;{0},BRAVO,1,2,;
2020-07-12 04:23:54,,{48}0e10fb8583da;{0},BRAVO,1,2,;
2020-07-12 04:24:06,,{48}0e10fb8584d9;{0},BRAVO,1,2,;
2020-07-12 04:24:18,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 04:24:31,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 04:24:43,,{48}0e10fb8384db;{0},BRAVO,1,2,;
2020-07-12 04:24:55,,{48}0e10fb8383dc;{0},BRAVO,1,2,;
2020-07-12 04:25:08,,{48}0e10fb8383dc;{0},BRAVO,1,2,;
